# gapseq version: 1.2 2d739a56
# Transporter sequence DB md5sum: b99a77e (2024-05-19)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	39.631	6.08e-56	177	92	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	57	273	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	38.971	1.47e-63	198	95	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	6	273	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	30.876	1.31e-27	104	76	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	62	275	transporter
gnl|TC-DB|P06550|1.A.1.29.1	1.A.1.29.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P06550|1.A.1.29.1	27.027	0.015	31.6	82	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	137	229	transporter
gnl|TC-DB|Q57603|1.A.1.6.1	1.A.1.6.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q57603|1.A.1.6.1	24.324	4.97e-10	55.1	95	tr|A0A0H3GZH3|A0A0H3GZH3_KLEPH Potassium channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_31860 PE=4 SV=1	16	236	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	84.163	0.0	1830	99	tr|A0A0H3GSW4|A0A0H3GSW4_KLEPH Potassium efflux protein KefA OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_11910 PE=3 SV=1	10	1114	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	84.163	0.0	1830	99	tr|A0A0H3GSW4|A0A0H3GSW4_KLEPH Potassium efflux protein KefA OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_11910 PE=3 SV=1	10	1114	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	80.328	0.0	1108	99	tr|A0A0H3GQA3|A0A0H3GQA3_KLEPH Mechanosensitive channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_16690 PE=3 SV=1	1	729	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	80.328	0.0	1108	99	tr|A0A0H3GQA3|A0A0H3GQA3_KLEPH Mechanosensitive channel protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_16690 PE=3 SV=1	1	729	transporter
gnl|TC-DB|Q61835|1.A.27.1.2	1.A.27.1.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q61835|1.A.27.1.2	26.471	7.8	22.3	77	tr|A0A0H3GK43|A0A0H3GK43_KLEPH Succinate--CoA ligase [ADP-forming] subunit alpha OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=sucD PE=3 SV=1	93	147	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	21.951	5.2	22.7	82	tr|A0A0H3GY76|A0A0H3GY76_KLEPH Ferredoxin reductase subunit OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_44330 PE=4 SV=1	299	380	transporter
gnl|TC-DB|XP_014115346.1|1.A.27.2.2	1.A.27.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|XP_014115346.1|1.A.27.2.2	21.951	5.2	22.7	82	tr|A0A0H3GY76|A0A0H3GY76_KLEPH Ferredoxin reductase subunit OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_44330 PE=4 SV=1	299	380	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	84.016	5.07e-147	407	100	tr|A0A0H3GYI0|A0A0H3GYI0_KLEPH Biopolymer transport protein ExbB OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_45530 PE=3 SV=1	1	243	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	97.391	5.76e-168	459	100	tr|A0A0H3GQB7|A0A0H3GQB7_KLEPH Tol-Pal system protein TolQ OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=tolQ PE=3 SV=1	1	230	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	77.165	6.68e-68	198	100	tr|A0A0H3GTV6|A0A0H3GTV6_KLEPH Fluoride-specific ion channel FluC OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=fluC PE=3 SV=1	1	127	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	100.000	0.0	623	100	tr|A0A0H3GQ79|A0A0H3GQ79_KLEPH Ibestrophin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_27900 PE=3 SV=1	1	305	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O00631|1.A.50.2.1	48.000	2.9	21.2	81	tr|A0A0H3GKZ9|A0A0H3GKZ9_KLEPH Anaerobic dimethyl sulfoxide reductase subunit C OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_18070 PE=4 SV=1	115	138	transporter
gnl|TC-DB|O00631|1.A.50.2.1	1.A.50.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|O00631|1.A.50.2.1	48.000	2.9	21.2	81	tr|A0A0H3GKZ9|A0A0H3GKZ9_KLEPH Anaerobic dimethyl sulfoxide reductase subunit C OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_18070 PE=4 SV=1	115	138	transporter
gnl|TC-DB|Q5QRI8|1.A.53.1.1	1.A.53.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q5QRI8|1.A.53.1.1	30.612	0.59	24.6	78	tr|A0A0H3GXK9|A0A0H3GXK9_KLEPH LysR-family transcriptional regulator OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_52200 PE=3 SV=1	188	236	transporter
gnl|TC-DB|P03493|1.A.58.1.1	1.A.58.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P03493|1.A.58.1.1	21.053	0.29	26.9	78	tr|A0A0H3GWT4|A0A0H3GWT4_KLEPH Periplasmic gluconate-binding protein in GNT I transport system OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_49350 PE=4 SV=1	105	194	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.495	2.77e-27	100	98	tr|A0A0H3GS17|A0A0H3GS17_KLEPH Glycine transporter domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_09060 PE=3 SV=1	1	205	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.495	2.77e-27	100	98	tr|A0A0H3GS17|A0A0H3GS17_KLEPH Glycine transporter domain-containing protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_09060 PE=3 SV=1	1	205	transporter
gnl|TC-DB|Q19QW7|1.A.65.1.2	1.A.65.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q19QW7|1.A.65.1.2	33.846	0.21	26.6	86	tr|A0A0H3GPB8|A0A0H3GPB8_KLEPH Aminobenzoyl-glutamate transport protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_24400 PE=4 SV=1	20	74	transporter
gnl|TC-DB|P23958|1.A.8.10.11	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P23958|1.A.8.10.11	31.878	2.04e-21	87.0	84	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	3	224	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.340	3.17e-19	80.9	88	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	3	230	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	35.065	1.52e-16	73.6	84	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	7	224	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	86.926	0.0	506	100	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	1	283	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	38.839	4.12e-39	134	77	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	2	224	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	31.278	1.43e-28	106	75	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	2	226	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	36.397	5.37e-30	110	99	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	3	254	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	34.586	4.04e-33	118	98	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	6	254	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	40.088	6.44e-38	129	98	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	3	226	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	38.462	1.13e-40	139	89	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	5	259	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	28.125	3.71e-18	79.3	93	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	13	252	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	26.224	2.79e-14	68.6	98	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	6	254	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	29.502	1.06e-13	66.2	97	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	5	249	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	31.349	2.13e-21	87.4	98	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	10	256	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	36.735	5.15e-30	110	95	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	12	248	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	35.341	2.06e-29	108	96	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	10	254	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	31.679	8.76e-26	99.4	99	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	4	256	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	30.556	3.58e-20	84.3	98	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	10	256	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	34.884	9.53e-28	104	98	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	7	251	transporter
gnl|TC-DB|Q9V5Z7|1.A.8.8.13	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9V5Z7|1.A.8.8.13	37.768	1.55e-39	134	87	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	1	231	transporter
gnl|TC-DB|729057658|1.A.8.8.17	1.A.8.8.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|729057658|1.A.8.8.17	27.273	5.25e-11	58.9	82	tr|A0A0H3GVU6|A0A0H3GVU6_KLEPH Major Intrinsic protein channel, glycerol diffusion OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_46150 PE=3 SV=1	8	262	transporter
gnl|TC-DB|XP_014257049.1|1.A.8.8.27	1.A.8.8.27	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|XP_014257049.1|1.A.8.8.27	26.872	6.00e-14	66.6	80	tr|A0A0H3GUX7|A0A0H3GUX7_KLEPH Aquaporin Z OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=aqpZ PE=3 SV=1	7	231	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	40.659	5.20e-57	182	91	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	4	274	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	36.719	9.31e-44	148	85	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	5	258	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	36.290	1.73e-36	128	90	tr|A0A0H3H4L2|A0A0H3H4L2_KLEPH Aquaglyceroporin OS=Klebsiella pneumoniae subsp. pneumoniae (strain HS11286) OX=1125630 GN=KPHS_51760 PE=3 SV=1	10	255	transporter
